address,cost,food_type,name
" 10423 Jefferson Highway, Baton Rouge 70809",Unknown,['BBQ'],"BRQ ""Seafood and Barbeque""                                     "
" 5465 Main St, Zachary 70791",$,['Sushi'],Oishi Sushi & Grill                                     
" 10933 Cloverland Ave, Baton Rouge 70809",$,"['American', ' Burger', ' Sandwich']",Riverside Patty Too                                     
" 1542 North Airline Highway, Gonzales 70737",$$,"['Asian', ' Japanese', ' Sushi']",ikura Japanese Restaurant                                     
 7877 Jefferson Highway 70809,$,['Sandwich'],Panera Bread                                     
" 10820 Florida Blvd, Baton Rouge 70815",$$,['Mexican'],El Rancho Mexican Grill                                     
" 413 N Acadian Thwy, Baton Rouge 70806",$,"['Fast Food', ' Seafood', ' Southern']",Delpit's Chicken Shack                                     
" 7951 1 Calais Avenue, Baton Rouge 70809",$$,"['Asian', ' Chinese', ' Sushi']",Omi                                     
" 40136 Hwy 942, Darrow 70725",$$$$,"['American', ' French', ' International']",Latil's Landing at Houmas House Plantation                                     
" 11822 Coursey Boulevard, Baton Rouge 70816",$,['Chinese'],China Express                                     
" 34790 La Hwy 16, Denham Springs 70706",$,['Seafood'],Linda's Chicken & Fish                                     
" 5201 Nicholson Drive, Baton Rouge 70820",$,['Pizza'],Hungry Howie's Pizza                                     
" 33875 La Hwy 16 - Ste C2d, Denham Springs 70706",$$,"['BBQ', ' Burger']",Firehouse BBQ                                     
" 7415 Corporate Blvd, Baton Rouge 70809",$,"['Fast Food', ' Mexican']",Qdoba Mexican Grill                                     
" 17134 highway 44, Prairieville 70769",$,"['American', ' Sandwich', ' Seafood']",Nooley's                                     
" 6725 Siegen Lane, Suite N, Baton Rouge 70809",$,"['American', ' Sandwich', ' Vegetarian']",Which Wich Superior Sandwiches                                     
" 240 Range 12 Boulevard, Suite 118, Denham Springs 70726",$,['Chinese'],Crouching Dragon                                     
" 44014 Hwy 431, St Amant 70774",$,['Southern'],Leader's Fried Chicken                                     
 6454 Siegen Lane 70809,$,"['American', ' Burger', ' BBQ']",Hooters                                     
" 1710 Nicholson Dr, Baton Rouge 70802",$,['Chinese'],Chinese Inn-Nicholson                                     
" 684 Jefferson Hwy., Baton Rouge 70806",$$,"['Italian', ' Pizza']",Reginelli's Pizzeria                                     
" 7970 Jefferson Highway, Baton Rouge 70809",$$,['Chinese'],King's Wok                                     
" 6230 Bluebonnet Blvd, Baton Rouge 70809",$$,"['Chinese', ' Japanese']",King Buffet                                     
" 7620 Corporate Blvd, Baton Rouge 70809",$,"['American', ' Sandwich']",Maxwell's Market                                     
" 501 Main St, Baton Rouge 70802",$,"['Desserts', ' French', ' Crepes']",GOyaya's Crepes                                     
" 8873 Highland Road, Baton Rouge 70808",$$,['Pizza'],Johnny's Pizza House                                     
" 4320 Perkins Road, Baton Rouge 70808",$,"['Fast Food', ' Sandwich', ' Seafood']",Po-Boy Express                                     
" 5350 Government St, Baton Rouge 70806",$$,"['Greek', ' Mediterranean']",Roman's Cafe'                                     
" 29285 S Frost Rd, Livingston 70754",$,"['BBQ', ' Burger', ' Sandwich']",Wayne's Barbeque                                     
" 2444 Balis Drive, Baton Rouge 70808",$,"['Southern', ' Sandwich']",Owens Grocery & Market                                     
" 58725 Belleview Rd, Plaquemine 70764",$$,"['Italian', ' Pizza', ' Sandwich']",Uncle Johnny's                                     
" 123 Aspen Sq, Denham Springs 70726",$$,"['American', ' Seafood', ' Cajun']",Big Mike's                                     
" 14434 Hwy 44, Gonzales 70737",$,['Pizza'],Nick's Pizza & Subs                                     
" 7520 Perkins Road, Baton Rouge 70808",$$,"['Sushi', ' Japanese']",Sake Sushi                                     
" 103 France Street, Baton Rouge 70802",$$$,"['Seafood', ' Southern', ' Steak']",Shucks on the Levee                                     
 7707 Bluebonnet Boulevard Ste 120 70810,$,['Mediterranean'],Zoes Kitchen                                     
" 1123 N Airline Hwy, Gonzales 70737",$,"['American', ' Chinese']",Grand Wall Chinese Super Buffet                                     
" 216 Lee Dr, Baton Rouge 70808",Unknown,['Donuts'],Mr. Ronnie's Famous Hot Donuts                                     
" 5162 Government St, Baton Rouge 70806",$$,['Breakfast'],Tiger Deaux-Nuts                                     
" 40051 Highway 42 Ste G, Prairieville 70769",$,['Chinese'],Hut Wok                                     
" 131 Aspen Sq, Denham Springs 70726",$$,['Greek'],Lashish                                     
" 1623 Brightside Dr, Baton Rouge 70820",$,"['American', ' Burger', ' Southern']",Brightside Bar And Grill                                     
 101 West State Street 70802,$,"['Fast Food', ' Mexican']",Chipotle Mexican Grill                                     
 777 L'Auberge Avenue 70820,$$$$,"['American', ' Seafood', ' Steak']",18 Steak                                     
" 711 Jefferson Hwy Ste 2-A, Baton Rouge 70806",$,"['Coffee and Tea', ' Desserts', ' Sandwich']",Brew Ha-Ha!                                     
" 10404 Coursey Blvd, Baton Rouge 70816",$,"['Japanese', ' Sushi']",Sushi Village                                     
 3930 Burbank Drive 70808,$$,"['Italian', ' Sandwich']",Breck’s Bistro & Pasta Bar                                     
" 672 Jefferson, Baton Rouge 70806",$,"['Seafood', ' Vegetarian']",MJ's Cafe                                     
" 7731 Perkins Rd, Baton Rouge 70810",$$,['Greek'],Roman's II Greek-Lebanese Cafe                                     
" 8558 Goodwood Boulevard, Baton Rouge 70806",$,"['American', ' Burger', ' Sandwich']",Goodwood Grill                                     
 320 Saint Charles Street 70802,$,"['American', ' Breakfast', ' Diner']",Christina's Restaurant                                     
" 6401 Bluebonnet Blvd, Baton Rouge 70836",$$,"['American', ' Burger']",Red Robin Gourmet Burgers and Brews                                     
 14111 Airline Hwy # 116 70817,$,"['American', ' Bar Food']",Wings Of Glory                                     
" 6731 Highway 61, St. Francisville 70775",$$,['Mexican'],Que Pasa                                     
 2313 Tanger Boulevard 70737,$,['American'],Cracker Barrel Old Country Store                                     
 13048 Hilltop Road 70449,$$$,"['Sandwich', ' Seafood']",Hill Top Inn Restuarant                                     
" 2627 S Sherwood Forest Blvd, Baton Rouge 70816",Unknown,"['Asian', ' Burger', ' Seafood']",Sherwood Poboy                                     
" 14777 River Rd, Baton Rouge 70820",$$$,"['Seafood', ' Steak']",L'auberge Bon Temps Buffet                                     
" 453 Lafayette St, Baton Rouge 70801",$$,['Mexican'],Azteca's Mexican Cuisine                                     
" 901 N Airline Hwy, Gonzales 70737",$,['Mexican'],El Meskal                                     
" 36519 Oak Plaza Ave, Prairieville 70769",$,['American'],Griffin Grill                                     
 5734 South Sherwood Forest Boulevard 70816,$,"['BBQ', ' Desserts', ' Sandwich']",Jay's Bar-B-Q                                     
" 5252 S Sherwood Forest Blvd, Baton Rouge 70816",$$,Unknown,Golden Corral                                     
" 6691 Sullivan Rd, Greenwell Springs 70739",$,"['Breakfast', ' Coffee and Tea', ' Sandwich']",Central Perk                                     
" 19900 Old Scenic Hwy., Zachary 70791",$$,['Southern'],Martha's Bistro                                     
" 18564 Magnolia Bridge Rd, Greenwell Springs 70739",$$,"['Greek', ' Mediterranean']",Cafe Delphi                                     
" 13180 Coursey Blvd, Baton Rouge 70816",$,['Chinese'],China House One                                     
" Walker South Rd, Walker 70785",$,"['Burger', ' Sandwich', ' Seafood']",Sherwood Po Boy                                     
" 1006 E Worthy St, Gonzales 70737",$,"['American', ' Sandwich', ' Southern']",Mike's Po Boys                                     
 7000 Bluebonnet Boulevard 70810,$$$,"['American', ' Cajun']",Tallulah                                     
" 11135 Coursey Blvd, Baton Rouge 70816",$,"['American', ' Burger', ' Fast Food']",BullChicks                                     
" 9085 Perkins Road, Baton Rouge 70810",$,['Seafood'],LA Boilers                                     
" 6643 Sullivan Rd, Greenwell Springs 70739",$,"['Breakfast', ' Burger', ' Southern']",MePas Diner                                     
" 210 Morrison Pkwy, New Roads 70760",$$$,"['Seafood', ' Southern', ' Cajun']",Morel's                                     
" 17532 Airline Hwy, Prairieville 70769",$,"['American', ' Sandwich']",South of Philly                                     
" 12177 Coursey Boulevard, Baton Rouge 70816",$$,"['American', ' Coffee and Tea', ' Tea']",Coffee Bean & Cafe                                     
" 2451 North St, Baton Rouge 70802",$,['Southern'],Cafe Express                                     
" 7474 Corporate Blvd Ste 104, Baton Rouge 70809",$,"['Desserts', ' Frozen Yogurt']",Yogurtland                                     
" 7755 Magnolia Beach Rd, Denham Springs 70726",Unknown,['Mexican'],El Rancho                                     
" 13375 Hwy 73 Ste D, Geismar 70734",$$,"['American', ' Sandwich']",John Michael's Good Eats                                     
" 1750 Brightside Dr #D, Baton Rouge 70820",$,"['Chinese', ' Japanese']",Chinese Kitchen                                     
" 15450 George O Neal Rd, Baton Rouge 70817",$,['Chinese'],China Kitchen                                     
" 31025 La Hwy 1, White Castle 70788",$$$$,"['Southern', ' Cajun']",Mansion at Nottoway Plantation                                     
" 14030 Plank Road, Baker 70714",$,"['Italian', ' Seafood', ' Steak']",Lagniappe Steak & Seafood                                     
" 31899 La Hwy 16, Denham Springs 70726",$$,"['Italian', ' Mexican', ' Seafood']",Lagniappe                                     
" 4215 Government St, Baton Rouge 70806",$,"['American', ' BBQ', ' Desserts']",Jay's Bar-B-Q                                     
 17530 Airline Hwy. Ste. C 70769,$,"['Italian', ' Pizza', ' Sandwich']",Rotolo's Pizzeria                                     
" 2028 Louisiana 30 W, Gonzales 70737",$$,['Mexican'],El Paso                                     
" 6401 Bluebonnet Blvd. #500, Baton Rouge 70809",$,['Desserts'],Menchie's Frozen Yogurt                                     
 4347 High Street Ste 101 70791,$$,['Seafood'],Cajun Catch                                     
" 5201 Government St, Baton Rouge 70806",$,"['Asian', ' Vegetarian']",Oriental Pearl                                     
" 7562 Bluebonnet Blvd, Baton Rouge 70810",$,['Chinese'],China Bear                                     
" 3006 College Dr, Baton Rouge 70808",$$,"['American', ' Breakfast']",IHOP                                     
" 400 S Range Ave, Denham Springs 70726",$,"['American', ' Greek']",Cafe Green                                     
" 6490 Hwy 22, Sorrento 70778",$,"['Breakfast', ' Coffee and Tea', ' Southern']",The Coffee House                                     
" 13214 Coursey Blvd, Baton Rouge 70816",$$,Unknown,Taco Chops                                     
" 8200 Village Plaza Ct, Baton Rouge 70810",$$$,"['French', ' Cajun']",Bistro Byronz                                     
" 27010 Crossing Circle, Denham Springs 70810",Unknown,"['Southern', ' Seafood', ' Cajun']",Walk-Ons Bistreaux & Bar                                     
" 2504 Government St, Baton Rouge 70806",$,"['BBQ', ' Burger']",Smokin Aces BBQ                                     
" 9848 Perkins Rd, Baton Rouge 70810",$,['Fast Food'],Serops Express                                     
" 11172 River Highlands Road, St Amant 70774",$$,"['American', ' Mexican']",Sarita's Grill and Cantina                                     
" 20377 Old Scenic Hwy. Ste. 204, Zachary 70791",$,"['Chinese', ' Vegetarian']",Hong Kong                                     
 33920 Highway 16,Unknown,"['Seafood', ' Steak']",Dukes Seafood and Steakhouse                                     
" 1980 Staring Ln, Baton Rouge 70810",$$,"['Breakfast', ' Seafood']",Crawfords Two                                     
" 7064 Siegen Lane, Baton Rouge 70809",$,"['Asian', ' Chinese', ' Japanese']",China 1                                     
 32334 La Hwy 16 Ste. A 70706,$,"['Italian', ' Pizza', ' Cajun']",Rotolo's Pizzeria                                     
" 13785 Coursey Blvd, Baton Rouge 70817",$,"['Seafood', ' Cajun']",Louisiana Cajun Seafood                                     
" 2819 Highland Rd, Baton Rouge 70802",$,"['Sandwich', ' Seafood']",University Seafood                                     
" 7474 Corporate Blvd, Suite 105, Baton Rouge 70809",$,['Chinese'],Panda                                     
" 7731 Perkins Rd, Baton Rouge 70810",$$,"['Italian', ' Pizza', ' Sandwich']",Orginal Italian Pie                                     
" 7055 Siegen Ln, Baton Rouge 70809",$,['Fast Food'],Chick-fil-A                                     
" 311 3rd St, Baton Rouge 70801",$,"['Sandwich', ' BBQ']",Faye's Subs and Salads                                     
" 6473 Highway 44 Ste 123, Gonzales 70737",$$,"['Seafood', ' Steak', ' Cajun']",Pelican Landing Seafood House                                     
 5219 Government Street 70806,$$,"['Greek', ' Mediterranean', ' Middle Eastern']",Arzi's                                     
" 13394 Hwy 73 # C, Geismar 70734",$$,"['Asian', ' Japanese', ' Sushi']",Kaminari                                     
" 9702 Airline Hwy, Baton Rouge 70816",$$,['American'],Applebee's                                     
" 17221 Jefferson Highway, Baton Rouge 70817",$$,['American'],Jazz Daddy's Poboys                                     
" 451 Florida St 21st Floor, Baton Rouge 70801",$$$$,"['American', ' Cajun']",Camelot Club                                     
" 805 Court Street, Port Allen 70767",$$,"['American', ' Cafe', ' Sandwich']",Court Street Cafe                                     
" 12640 Perkins Rd, Baton Rouge 70810",$,"['Breakfast', ' Donuts']",Mary Lee Donuts VII                                     
" 35770 Hwy 16, Denham Springs 70706",$,"['Breakfast', ' Cajun']",Day's Smokehouse & Specialty Meats                                     
" 5647 Main St, Zachary 70791",$,['Mexican'],El Agave                                     
" 7875 Airline Hwy, Livonia 70755",$$,['Diner'],Penny's Diner                                     
 587 Florida Avenue SE 70726,$$,['Mexican'],Maria's Mexican and American                                     
" 770 S Range Ave, Denham Springs 70726",$,['Pizza'],Mr. Gatti's                                     
" 105 N Range Ave, Denham Springs 70726",$$,['American'],Taste of Lousiana Cafe                                     
" 1506 N Airline Hwy, Gonzales 70737",$,"['American', ' Breakfast', ' Southern']",Carli-Co Cafe                                     
" 709 E Ascension St, Gonzales 70737",$$,"['Desserts', ' Beverages', ' Ice Cream']",Cade's Frozen Custard                                     
" 7046 Airline Hwy, Baton Rouge 70805",$,['Donuts'],Mikey's Donuts King                                     
" 2948 Highland Road, Baton Rouge 70802",$,"['Burger', ' Fast Food']",Wienerschnitzel                                     
" 321 North Blvd, Baton Rouge 70801",$,"['Greek', ' Mediterranean', ' Middle Eastern']",Sadaf Cafe Greek & Lebanese                                     
" 211 Railroad Ave, Donaldsonville 70346",$$$,['Cajun'],Grapevine Cafe' & Gallery                                     
" 2561 Citiplace Court, Ste 475, Baton Rouge 70808",$,['Bar Food'],The Cove                                     
" 130 3rd St, Baton Rouge 70801",$,"['Burger', ' Seafood']",Downtown Seafood                                     
" 18135 E Petroleum Dr, Baton Rouge 70809",$,"['Sandwich', ' Deli']",Maxwell's Market                                     
" 18340 Highland Rd, Baton Rouge 70809",$$,['Mexican'],Las Palmas Mexican                                     
" 501 Main Street, Baton Rouge 70801",$,['Sandwich'],Fresh Salads & Wraps                                     
" Location Varies, Baton Rouge",$,"['BBQ', ' Burger', ' Cajun']",Three Bones Catering                                     
" 8740 La 44, Convent 70723",$$,"['American', ' Seafood', ' Cajun']",Hymel's Seafood Restaurant                                     
" 6241 Perkins Rd, Baton Rouge 70808",$,"['American', ' Sandwich']",Maxwell's Market II                                     
 13241 Perkins Road 70810,$,['Cajun'],The Jambalaya Shoppe Perkins                                     
" 3030 S Sherwood Forest Blvd, Baton Rouge 70816",$,['BBQ'],Wingstop                                     
" 3535 Perkins Rd, Baton Rouge 70808",$,"['Desserts', ' Italian', ' Sandwich']",La Divina Italian Cafe                                     
 2648 South Sherwood Forest Boulevard 70816,$$,['BBQ'],Podnuh's Bar-B-Q                                     
" 120 S Alexander Ave, Port Allen 70767",$,['American'],River Queen Drive Inn                                     
" 57950 Labauve Ave, Plaquemine 70764",$,"['BBQ', ' Sandwich', ' Seafood']",Fat Daddy's                                     
" 2954 Perkins Rd, Baton Rouge 70808",$,"['American', ' Bar Food']",Ivar's Sports Bar & Grill                                     
" 7490 Burbank Dr, Baton Rouge 70820",$,['American'],Lakeside Daiquiri & Grill                                     
" 10340 N Mall Dr, Baton Rouge 70809",$$,"['American', ' Burger', ' Fast Food']",Back Yard Burgers                                     
" 41025 Hwy 621, Gonzales 70737",$,"['American', ' Breakfast']",CrossRoads Cafe & Bakery                                     
" 21162 Hwy 22, Maurepas 70449",$$,"['Seafood', ' Cajun']",Vals Marina                                     
" 9880 Bluebonnet Blvd, Baton Rouge 70810",$,['Chinese'],China Star                                     
" 526 Florida Ave SW, Denham Springs 70726",$,"['American', ' Burger', ' Seafood']",Original New Orleans Poboy and Seafood                                     
" 7960 Jefferson Hwy, Baton Rouge 70809",$,"['Coffee and Tea', ' Tea']",CC's Coffee House                                     
" 4769 McClelland Dr, Baton Rouge 70805",$,"['Burger', ' Desserts', ' Sandwich']",Dixie Maid Drive-in                                     
 3930 Burbank Drive 70808,Unknown,"['Japanese', ' Sushi']",UMAMI Japanese Bistro                                     
" 5355 Government St, Baton Rouge 70806",$,"['Sandwich', ' Seafood', ' Cajun']",Capital City Crawfish & Cajun Specialties                                     
" 36519 Oak Plaza Ave, Prairieville",$,['Chinese'],Hot Wok                                     
" 715 Europe St, Baton Rouge 70802",$$,['French'],Beauregard Gallery & Bistro                                     
" 1045 Millerville Rd, Baton Rouge 70816",$,['Chinese'],Hong Kong                                     
" 3110 Scenic Hwy, Baton Rouge 70805",$,['Southern'],Bellue's Fine Cajun Cuisine                                     
" 1750 Brightside Drive, Suite F, Baton Rouge 70820",$,"['Bakery', ' Desserts', ' Donuts']",Prince Donuts                                     
" 6473 Louisiana 44 #121, Gonzales 70737",$,"['American', ' Burger', ' Southern']",Twisted Burgers                                     
" 211 Railroad Ave, Donaldsonville 70346",$$$,['Southern'],Grapevine Market and Cafe                                     
" 250 West Lee Drive, Baton Rouge",Unknown,['American'],Your Mom's Restaurant                                     
" 23466 Eden St, Plaquemine 70764",$$,"['Seafood', ' Southern']",Guidry's                                     
" 10330 Airline Highway, Baton Rouge 70816",$,['Chinese'],China One                                     
" 2619 S Sportsman Lane, Gonzales 70737",$$,"['American', ' Steak']",Logan's Roadhouse                                     
" 12181 Greenwell Springs Road, Baton Rouge 70814",Unknown,['Cajun'],Jerry Lee's Kwik Shop                                     
" 14233 Sunrise Way, St Francisville 70775",$$,"['Sandwich', ' Seafood', ' Steak']",The Bluffs                                     
 7970 Jefferson Hwy 70809,$$$,['Italian'],La Contea Italiano Ristorante                                     
 7620 Corporate Boulevard Suite D 70809,$,['Desserts'],Nothing Bundt Cakes                                     
" 3930 Burbank Drive, Baton Rouge 70808",$$,['Pizza'],LIT Pizza                                     
" 34775 La. Hwy 16, Denham Springs 70706",$$,"['American', ' Breakfast']",Down Home Grill and Cafe                                     
" 240 Range 12 Blvd, Denham Springs 70726",$,"['Sandwich', ' Seafood', ' Cajun']",Swamp Box Cafe                                     
" 7211 Corporate Boulevard, Suite B Baton Rouge 70809",$$,"['Pizza', ' Sandwich', ' Healthy Food']",Newk's Eatery                                     
" 6251 Perkins Road, Baton Rouge 70808",$$$,['Mexican'],Marina's Mexican Grill                                     
" 12328 S Choctaw Dr, Baton Rouge 70815",$,"['American', ' Southern', ' Cajun']",Warehouse Restaurant                                     
" 3485 Cedarcrest Avenue, Baton Rouge 70816",$,"['Fast Food', ' Sandwich', ' Seafood']",Po-Boy Express                                     
" 2008 Perkins Rd, Baton Rouge 70808",$,"['Breakfast', ' Coffee and Tea', ' Tea']",Garden District Coffee                                     
" 1320 Hospital Rd, New Roads 70760",$$,['Mexican'],El Patio                                     
 1402 North. Burnside 70737,$$,"['Italian', ' Pizza', ' Sandwich']",Rotolo's Pizzeria                                     
" 143 3rd St, Baton Rouge 70801",$,"['Sandwich', ' Seafood', ' Cajun']",Roux House                                     
" 12732 Perkins Rd, Baton Rouge 70810",Unknown,['Cajun'],Calandro's Supermarket II                                     
" 3015 Westfork Dr, Baton Rouge 70816",Unknown,['American'],Hawk's Nest                                     
 5355 Government Street 70806,$,['Chinese'],China One                                     
" 2904 Perkins Road, Baton Rouge 70808",Unknown,"['American', ' Bar Food']",The Overpass Merchant                                     
" 5695 Commerce St, St Francisville 70775",$,"['Breakfast', ' Coffee and Tea']",Birdman Coffee & Books                                     
" 15504 George Oneal Rd, Baton Rouge 70817",$$,"['American', ' Italian', ' Pizza']",Original Italian Pie                                     
" Location Varies, Baton Rouge 70809",$,"['Sandwich', ' Southern', ' Cajun']",Bon Repas Wrap truck                                     
" 3109 Perkins Rd, Baton Rouge 70808",$$,"['American', ' Fast Food', ' Seafood']",Crispy Catch                                     
" 712 Jefferson Hwy, Baton Rouge 70806",$,"['Greek', ' Mediterranean']",Serops Express II                                     
" 3332 S Sherwood Forest Blvd, Baton Rouge 70816",$,"['American', ' Breakfast', ' Seafood']",Piccadilly Cafeteria                                     
" 201 Lafayette St, Baton Rouge 70801",$$$,"['Breakfast', ' Coffee and Tea', ' Steak']",Kingfish                                     
" 8386 Airline Highway, Baton Rouge 70815",$$,"['American', ' Southern', ' Soul Food']",Pappa's Soulfood                                     
" 36520 Oak Plaza Avenue, Prairieville 70769",$$,"['Mexican', ' Tex-Mex']",Las Palmas Mexican                                     
" 17535 Airline Hwy, Prairieville 70769",$,"['American', ' Cajun', ' Bar Food']",Dempsey's- Prairieville                                     
" 17540 Airline Hwy, Prairieville",$,['Greek'],Shawarma Greek Xpress                                     
" 200 Convention Street, Baton Rouge 70801",$$,"['Bar Food', ' Cajun']",The King Bar & Bistro at the Hotel Indigo                                     
" 7425 Corporate Blvd, Baton Rouge 70809",$$,['American'],Walk-Ons Bistreaux & Bar                                     
" 615 E Ascension St, Gonzales 70737",$$,"['American', ' Desserts']",Country Kitchen                                     
" 4222 Government Street, Baton Rouge 70806",$,"['Fast Food', ' Pizza']",Little Caesars Pizza                                     
" 1750 Brightside, Baton Rouge 70820",$,"['American', ' Sandwich', ' Teriyaki']",Inga's Subs and Salads II                                     
" 300 Hospital Rd, New Roads 70760",$,['American'],Big Boy's Drive-in                                     
" 40136 Hwy 942, Darrow 70725",$$$$,['French'],The Carriage House at Houmas House                                     
" 2561 Citiplace Ct, Baton Rouge 70808",$,"['Desserts', ' Fast Food']",Marble Slab Creamery                                     
" 8905 Highland Rd, Baton Rouge 70810",$,"['Chinese', ' Seafood']",China Taste                                     
" 9449 Airline Hwy, Baton Rouge 70815",Unknown,['Chinese'],Chinese Inn                                     
" 3435 Hwy 67, Slaughter 70777",$$,"['Seafood', ' Steak', ' Cajun']",Back Roads                                     
" 13139 Highway 44, Gonzales 70737",$,"['Sandwich', ' Seafood']",Christian Brothers Seafood                                     
" 3131 College Dr, Baton Rouge 70808",$,['Fast Food'],Panda Express                                     
" 6971 Siegen Ln, Baton Rouge 70809",$,"['Coffee and Tea', ' Tea']",CC's Coffee House                                     
" 10218 Sullivan Rd, Baton Rouge 70818",$,['Chinese'],China Wok                                     
" 4151 La Hwy 1 S, Port Allen 70767",$,"['American', ' Burger', ' Cajun']",D C's Grill                                     
" 17316 Airline Hwy, Prairieville 70769",$$,"['Japanese', ' Sushi']",Oki Japan                                     
" 3617 Perkins Road, Baton Rouge 70808",$,['Healthy Food'],The Salad Shop                                     
" 4250 Burbank Dr, Baton Rouge 70808",$,"['Frozen Yogurt', ' Ice Cream']",Yogurtland                                     
" 23115 Highway 1, Plaquemine 70764",$$,['Mexican'],Cabo's Grill 2                                     
" 11826 Coursey Boulevard, Baton Rouge 70816",$,"['Coffee and Tea', ' Desserts']",Les Amis Bake Shoppe                                     
" 422 Hwy 30, Gonzales 70737",$$,['Greek'],Albasha Greek & Lebanese Restaurant                                     
" 3347 Highland Rd, Baton Rouge 70802",$$,"['American', ' Korean', ' Cajun']",Barcadia                                     
" 2854 Kalurah St, Baton Rouge 70808",$,"['Breakfast', ' Bar Food']",Duvic's                                     
" 4608 Bennington Ave, Baton Rouge 70808",$,"['American', ' Burger', ' Seafood']",Station Sports Bar and Grill                                     
" 136 3rd St, Baton Rouge 70801",$,"['Burger', ' Bar Food']",Happy's Irish Pub                                     
 3145 Government Street,Unknown,Unknown,Elsie's Plate & Pie                                     
" 2741 O’Neal Lane, Baton Rouge 70816",$,"['Seafood', ' Cajun']",LA Boilers                                     
" 3655 Perkins Road, Baton Rouge 70808",$,"['Cafe', ' Sandwich']",Heather V's Cafe                                     
" 100 Lafayette St, Baton Rouge 70801",$,['Coffee and Tea'],Pj's Coffee                                     
" 4142 Government St, Baton Rouge 70806",Unknown,"['Sandwich', ' Seafood']",Calandro's Supermarket                                     
 6745 Siegen Lane 70809,$,['Fast Food'],Whataburger                                     
" 14319 Wax Rd, Baton Rouge 70818",$$,"['Greek', ' Italian', ' Mediterranean']",Cafe Phoenicia                                     
" 2698 South Sherwood Forest Boulevard, Baton Rouge 70816",$,"['Fast Food', ' Donuts']",Dunkin' Donuts                                     
" Location Varies, Baton Rouge",$,"['BBQ', ' Burger', ' Southwestern']",Kickers BBQ                                     
" 2204 S Burnside Ave, Gonzales 70737",$,Unknown,Jumonville's Bakery                                     
" 310 S Alexander Ave, Port Allen 70767",Unknown,Unknown,Pic-a-Pak Fried Chicken                                     
" 701 Spanish Town Rd, Baton Rouge 70802",$,"['Breakfast', ' Burger', ' Seafood']",Spanish Town Market                                     
" 7981 Florida Boulevard, Baton Rouge 70806",$,"['Latin American', ' Mexican']",La Morenita                                     
" 101 N Range Ave, Denham Springs 70726",$,"['Coffee and Tea', ' Desserts', ' Sandwich']",Cafe du Jour @ the Whistle Stop                                     
" 7111 Airline Hwy, Baton Rouge 70805",$,"['Burger', ' Sandwich', ' Seafood']",Raul's Deli                                     
" 7476 Highland Rd, Baton Rouge 70808",$,"['BBQ', ' Southern']",Southern Dawgz                                     
" 19970 Highland Rd #B-5, Baton Rouge 70809",Unknown,Unknown,Cake Goddess                                     
" 5504 Plank Rd, Baton Rouge 70805",$,"['Coffee and Tea', ' Diner', ' Fast Food']",Krispy Kreme Doughnuts                                     
" 13914 Florida Blvd, Livingston 70754",$,"['American', ' Burger', ' Desserts']",G & J Drive Inn                                     
" 514 S Burnside Ave, Gonzales 70737",$,"['American', ' Coffee and Tea', ' Tea']",Starlite Espresso Cafe                                     
" 2750 Scenic Hwy, Baton Rouge 70805",Unknown,['Seafood'],John's Seafood                                     
" 240 Range 12 Boulevard, Ste 102, Denham Springs 70726",$,"['Beverages', ' Ice Cream', ' Frozen Yogurt']",Nom Nom Frozen Yogurt                                     
" 14455 Wax Rd, Baton Rouge 70818",$$,"['Japanese', ' Sushi']",Nagoya Sushi House                                     
" 8646 Goodwood Blvd, Baton Rouge 70806",Unknown,['Desserts'],Gambino's Bakery                                     
" 113 W Cornerview St, Gonzales 70737",$,"['Asian', ' Chinese']",China Star                                     
" 8673 Siegen Lane, Baton Rouge 70810",$$,['Chinese'],Chinatown                                     
 11296 Highway 431 70774,$,"['Burger', ' Pizza', ' Seafood']",Marlin's Pizza                                     
" 7639 Jefferson Hwy, Baton Rouge 70809",Unknown,['Desserts'],Chocollage                                     
" 3939 Pawtucket St, Baton Rouge 70805",$,"['Fast Food', ' Seafood', ' Southern']",Chicken Shack                                     
" 17002 Jefferson Highway, Suite A, Baton Rouge 70817",$,"['Asian', ' Chinese']",New Panda                                     
" 34646 La Hwy 16, Denham Springs 70706",$,['Pizza'],Pizza Place                                     
" 1853 West Muriel Drive, Baton Rouge 70816",$,"['Latin American', ' Mexican']",Mi Cuevita Plus #1‎                                     
" 5252 Corporate Blvd, Baton Rouge 70808",$$$$,"['Seafood', ' Steak']",Ringside at Sullivans                                     
 4347 High Street Suite 106 70791,$,"['Fast Food', ' Pizza']",Pizza Hut                                     
" 12812 Highway 190 W, Port Allen 70767",$$,"['BBQ', ' Seafood']",Raxx Bar and Grill                                     
" 1000 Florida Blvd SE, Denham Springs 70726",$,"['Breakfast', ' Coffee and Tea']",Yummi Cafe Express                                     
" 10439 Reiger Rd, Baton Rouge 70809",$,"['American', ' Breakfast']",Waffle House                                     
" 10560 Hwy 70 W, Donaldsonville 70346",$,['Chinese'],Chuck Lee's Chinese                                     
" 1295 N Sherwood Forest Dr, Baton Rouge 70815",$,['Chinese'],East Dragon                                     
" 9993 Florida Blvd, Walker 70785",Unknown,['American'],Sam's of Walker                                     
" 228 West Chimes Street, Baton Rouge 70802",$,"['Asian', ' Chinese', ' Fast Food']",Geauld Tiger's Asian Fast Food                                     
" 112 S. Range Ave, Denham Springs 70726",$$,['Chinese'],Tiger Buffet II                                     
