address,cost,food_type,name
" 4395 Perkins Road, Baton Rouge 70808",$$,['Pizza'],Red Zeppelin Pizza                                     
" 7584 Bluebonnet Blvd, Baton Rouge 70810",$$,"['Japanese', ' Sushi', ' Teriyaki']",Tokyo Cafe                                     
" 10111 Perkins Rowe Perkins Rowe, Baton Rouge 70810",$$$,"['American', ' Asian', ' Sushi']",Kona Grill                                     
" 5230 Essen Lane, Baton Rouge 70809",$$,"['Indian', ' Vegetarian']",India's Restaurant                                     
" 4250 Burbank Dr, Baton Rouge 70808",$,"['Mexican', ' Tex-Mex']",Izzo's Illegal Burrito #1                                     
" 5215 Plank Rd, Baton Rouge 70805",$,"['Seafood', ' Cajun']",Tony's Seafood                                     
" 135 Veterans Boulevard, Denham Springs 70726",$$,['Mexican'],La Carreta of Denham Springs                                     
" 3838 Burbank Dr, Baton Rouge 70808",$$,"['Burger', ' Cajun']",Walk-On's Bistreaux & Bar                                     
" 5958 Florida Blvd, Baton Rouge 70806",$$,"['Thai', ' Vegetarian']",Thai Pepper                                     
" 4410 Highland Rd, Baton Rouge 70808",$$,"['Japanese', ' Sushi', ' Vietnamese']",Drunken Fish                                     
" 4625 S Sherwood Forest Blvd, Baton Rouge 70816",$,"['Japanese', ' Sushi']",Waka House                                     
" 7633 Jefferson Hwy, Baton Rouge 70809",$,['Burger'],Dearman's                                     
" 217 W State St, Baton Rouge 70802",$,"['Chinese', ' Japanese', ' Sushi']",Koi Japanese Cuisine                                     
" 37304 Perkins Rd, Prairieville 70769",$,"['Italian', ' Pizza', ' Sandwich']",Roma Pizza                                     
" 3535 Perkins Rd, Baton Rouge 70808",$$$,"['French', ' Seafood', ' Southern']",Galatoire's Bistro                                     
" 240 Range 12 Blvd, Denham Springs 70726",$$,"['Japanese', ' Sushi']",Geisha Sushi                                     
" 254 W Chimes Street, Baton Rouge 70802",$,['Sandwich'],Inga's Subs & Salads                                     
" 1500 Louisiana 30, Gonzales 70737",$$$,"['Seafood', ' Steak', ' Cajun']",Mike Anderson's Seafood                                     
 7275 Corporate Boulevard 70809,$$$,['Italian'],Carrabba's Italian Grill                                     
" 3851 S Sherwood Forest Boulevard, Baton Rouge 70816",$$,"['Asian', ' Vietnamese']",Pho Cafe                                     
" 100 Lafayette Street, Baton Rouge 70801",$$,"['American', ' Seafood', ' Southern']",Capital City Grill Downtown                                     
 7321 Corporate Boulevard 70809,$$$$,"['American', ' Seafood', ' Steak']",Fleming's Prime Steakhouse & Wine Bar                                     
" 3723 Government St, Baton Rouge 70806",$$$$,"['American', ' Southern', ' Steak']",Doe's Eat Place                                     
 470 North Alexander Avenue 70767,$,"['BBQ', ' Burger', ' Seafood']",Cou-yon's Cajun Bar-B-Q                                     
" 5201 Nicholson Dr, Baton Rouge 70820",$$,"['Japanese', ' Sushi']",Wahada                                     
 2318 Cedardale Avenue 70808,$,Unknown,Frankie's Dawg House                                     
" 7622 Old Hammond Hwy, Baton Rouge 70809",$$,"['Italian', ' Cajun']",Portobello's Grill                                     
" 13580 Coursey Blvd, Baton Rouge 70817",$,"['Burger', ' Sandwich', ' Seafood']",Dempsey's Poboys and Gumbo                                     
" 5837 Essen Lane, Baton Rouge 70808",$$,"['Japanese', ' Sushi']",Sushi Masa                                     
" 11260 Coursey Boulevard. Baton Rouge, LA 70816",$$,"['Burger', ' Seafood', ' Cajun']",Willie's Restaurant and Bar                                     
 2405 West Cabela Parkway 70737,$$$,"['Seafood', ' Steak', ' Cajun']",Don's Seafood                                     
" 3043 Perkins Rd, Baton Rouge 70808",$,['Sandwich'],Jimmy John's                                     
" 2943 Perkins Rd, Baton Rouge 70808",$$,"['American', ' Burger', ' Seafood']",George's Original                                     
" 3260 Highland Rd, Baton Rouge 70802",$,['Japanese'],Kaminari Hibachi and Sushi                                     
" 2112 Perkins Palms Ave, Baton Rouge 70808",$$,"['Caribbean', ' Healthy Food']",Rum House                                     
" 16400 Airline Hwy, Prairieville 70769",$$,"['American', ' Seafood', ' Cajun']",Sammy's Grill                                     
" 14241 Airline Highway, Suite 105, Baton Rouge 70817",$$,"['BBQ', ' Sandwich', ' Southern']",Pimanyoli's Sidewalk Cafe                                     
" 6110 Bluebonnet Blvd, Baton Rouge 70809",$$$,"['American', ' Seafood', ' Steak']",Ralph & Kacoo's                                     
" 2323 S Acadian Thruway, Baton Rouge 70808",$$$,['Mexican'],Mestizo Louisiana Mexican Restaurant                                     
" 6330 Siegen Ln, Baton Rouge 70809",$$,"['American', ' BBQ']",TJ Ribs                                     
" 6900 Siegen Lane, Baton Rouge 70809",$$,"['Greek', ' Mediterranean', ' Middle Eastern']",Zoroona Mediterranean Grill                                     
" 3043 Perkins Road Suite A, Baton Rouge 70808",$$,"['Asian', ' Japanese', ' Sushi']",Rock-n-Sake                                     
" 10360 N Mall Dr, Baton Rouge 70809",$$,"['American', ' BBQ', ' Steak']",Texas Roadhouse                                     
 5252 Corporate Boulevard 70808,$$$$,"['Seafood', ' Steak']",Sullivan's Steakhouse                                     
" 122 N Airline Hwy, Gonzales 70737",$$$,"['Japanese', ' Sushi']",Hello Tokyo                                     
 7512 Bluebonnet Boulevard 70810,$$$,['Italian'],Nino's                                     
 3155 Perkins Road 70808,$$,"['Mexican', ' Vegetarian', ' Taco']",Zippy's Burritos Tacos & More                                     
 301 3rd Street 70801,$,"['Italian', ' Pizza']",Schlittz and Giggles                                     
" 5575 Government St, Baton Rouge 70806",$,"['Italian', ' Sandwich']",Anthony's Italian Deli                                     
" 20335 Old Scenic Highway, Zachary 70791",$$,"['American', ' Seafood', ' Cajun']",Sammy's Grill                                     
" 8546 Siegen Lane, Street. George 70810",$,"['Breakfast', ' Desserts']",The Ambrosia Bakery                                     
 7521 Jefferson Hwy 70806,$$,"['American', ' Burger', ' Seafood']",Cafe Americain                                     
" 4250 Burbank Dr, Baton Rouge 70808",$,"['Asian', ' Chinese', ' Vegetarian']",Nine Dragon Chinese                                     
" 4710 O'Neal Lane, Baton Rouge 70817",$,"['Chinese', ' Thai']",Thai Chili                                     
" 7615 Jefferson Highway, Baton Rouge 70809",$$,"['Coffee and Tea', ' French']",La Madeleine Country French Cafe                                     
 16645 Highland Road 70810,$$$,"['Seafood', ' Steak']",French Market Bistro                                     
 7620 Andrea Drive 70809,$$,['Seafood'],Joe's Crab Shack                                     
" 11904 Coursey Bouleavard, Baton Rouge 70816",$$,['Indian'],Curry N Kabab                                     
 202 West Lee Drive 70808,$,"['American', ' Fast Food']",Raising Cane's Chicken Fingers                                     
" 2561 Citiplace Court, Suite 500 70808",$$,"['Greek', ' Mediterranean', ' Middle Eastern']",Albasha Greek & Lebanese                                     
" 4850 S. Sherwood Forest Blvd, Baton Rouge 70816",$$,"['Asian', ' Thai']",Duang Tawan                                     
" 10001 Perkins Rowe B-100, Baton Rouge 70810",$$$,"['Spanish', ' Cajun']",Lava Cantina                                     
" 1113 Hospital Rd, New Roads 70760",$$,"['Burger', ' Seafood', ' Cajun']",Hot Tails                                     
" 4215 S Sherwood Forest Blvd, Baton Rouge 70816",$$,['Chinese'],Hunan Chinese                                     
" 220 W. Lee Drive, Baton Rouge 70808",$,"['Mexican', ' Tex-Mex']",Fuzzy's Taco Shop                                     
" 14241 Airline Hwy, Baton Rouge 70817",$$$,"['Italian', ' Seafood', ' Steak']",Little Village II                                     
" 4641 Main St, Zachary 70791",$,"['Asian', ' Chinese']",Asian Pearl Chinese                                     
" 40306 Highway 42 Suite 9, Prairieville 70769",$$,"['American', ' Sandwich', ' Seafood']",The Galvez Seafood Company                                     
" 240 Capitol Street, Denham Springs 70726",$,"['Italian', ' Pizza', ' Sandwich']",Randazzo's Italian Market                                     
 6911 Siegen Lane 70809,$$,['Italian'],Olive Garden Italian Restaurant                                     
 136 Rushing Road East 70726,$$$,"['American', ' Seafood', ' Cajun']",Don's Seafood                                     
" 5251 Nicholson Dr, Baton Rouge 70820",$,"['American', ' Sandwich']",American Market                                     
" 10111 Perkins Rowe Ste. 160, Baton Rouge 70810",$$,['Bar Food'],Bin 77 Bistro and Wine                                     
" 2355 Ferndale Ave, Baton Rouge 70808",$$,['Pizza'],Schlittz & Giggles                                     
" 7750 Bluebonnet Blvd, Baton Rouge 70810",$$,['Mexican'],Mi Padres                                     
" 4215 S Sherwood Forest Blvd, Baton Rouge 70816",$$,"['Japanese', ' Sushi']",Ginza Sushi & Japanese Steakhouse                                     
" 11903 Coursey Boulevard, Baton Rouge 70816",$$,"['Italian', ' Pizza', ' Sandwich']",Bistro Italia                                     
" 1775 S Range Ave, Denham Springs 70726",$$,"['Mexican', ' Vegetarian']",Papis Mexican Cuisine                                     
" 15440 George Oneal Rd, Baton Rouge 70817",$$,"['American', ' Italian', ' Seafood']",Portobello's Grill                                     
" 252 South Blvd, Baton Rouge 70802",$$,"['Sandwich', ' Seafood']",Pastime Restaurant & Lounge                                     
 14546 South Harrells Ferry Road 70816,$,"['Greek', ' Bar Food', ' Southern']",Tiger Bait Grill                                     
" 2531 Citiplace Ct, Baton Rouge 70808",$,['Sandwich'],Jason's Deli                                     
" 4385 Perkins Rd., Suite 15, Baton Rouge 70808",$,"['American', ' Bar Food']",The Bulldog                                     
" 304 Laurel St, Ste 1B, Baton Rouge 70801",$$,"['American', ' European']",Blend Wine Bar                                     
 6353 Bluebonnet Boulevard. 70810,$$,"['American', ' Bar Food']",Pluckers Wing Bar                                     
" 13131 Airline Highway, Gonzales 70737",$$$,['Steak'],Sno's Seafood & Steak House                                     
" 7550 Bluebonnet Boulevard, Baton Rouge 70810",$$,"['Italian', ' Pizza', ' Seafood']",DeAngelo's                                     
" 7529 Corporate Blvd, Baton Rouge 70809",$,"['Asian', ' Sandwich', ' Healthy Food']",Whole Foods Market                                     
 4957 Essen Lane 70809,$$$,"['Breakfast', ' Southern', ' Cajun']",Copeland's of New Orleans                                     
" 9025 Airline Highway 190, Livonia 70755",$$$,"['Seafood', ' Steak', ' Cajun']",Not Your Mama's Cafe & Tavern                                     
 7415 Corporate Boulevard Ste 950 70810,$,['Mediterranean'],Zoes Kitchen                                     
 5689 Commerce Street 70775,$$,"['Burger', ' Pizza', ' Sandwich']",Magnolia Cafe                                     
" 8210 Jefferson Hwy, Baton Rouge 70809",$,"['Pizza', ' Sandwich']",New York Bagel Company                                     
" 3327 Highland Rd, Baton Rouge 70802",$,"['Burger', ' Sandwich', ' Healthy Food']",Roul Deli                                     
" 8775 Jefferson Hwy, Baton Rouge 70809",$,['American'],Philly Me Up                                     
" 4710 Oneal Ln, Baton Rouge 70817",$$$,"['Seafood', ' Southern']",City Cafe                                     
" 37390 Perkins Rd, Prairieville 70769",$$$,"['Seafood', ' Cajun']",On the Half Shell                                     
" 37306 Perkins Rd, Prairieville 70769",$$,"['American', ' Seafood', ' Cajun']",KC's Grill                                     
" 5271 Highland Road, Baton Rouge 70808",$$,"['Chinese', ' Japanese', ' Korean']",9 Dragon Noodle House                                     
 8353 Airline Hwy 70815,$$,"['American', ' Breakfast', ' Seafood']",Frank's Restaurant & Smokehouse                                     
" 7327 Jefferson Highway, Baton Rouge 70806",$$$,"['BBQ', ' Deli', ' Bar Food']",City Pork Brasserie & Bar                                     
" 226 Laurel Street, Baton Rouge 70801",$,"['Coffee and Tea', ' Tea']",Strands Cafe                                     
" 9618 Jefferson Hwy, Baton Rouge 70809",$,"['Asian', ' Hawaiian']",The Cove Hawaiian Grill                                     
" 7707 Bluebonnet Boulevard, Baton Rouge 70810",$$,"['Breakfast', ' French']",La Madeleine Country French Cafe                                     
" 15005 Market St, Baton Rouge 70817",$$,"['Seafood', ' Cajun']",Jones Creek Cafe & Oyster Bar                                     
" 7955 Bluebonnet Blvd, Baton Rouge 70810",$$,['Mexican'],Casa Maria Mexican Grill                                     
" 8290 Siegen Ln Ste E, Baton Rouge 70810",$$,['Mexican'],El Magey Mexican Restaurant                                     
" 2031 Perkins Rd, Baton Rouge 70808",$,"['American', ' Breakfast', ' Southern']",Zeeland Street Market                                     
" 15321 George Oneal Rd, Baton Rouge 70817",$,"['American', ' Burger', ' Sandwich']",George's                                     
 18291 Highland Road 70810,$$,"['Japanese', ' Sushi']",Hello Sushi                                     
" 1295 N Sherwood Forest Blvd, Ste B, Baton Rouge 70815",$,"['Asian', ' Vietnamese']",Saigon Noodles                                     
" 7157 Hwy 61, St Francisville 70775",$$,"['American', ' Italian', ' Pizza']",Sonny's Pizza                                     
" 3221 Nicholson Dr, Baton Rouge 70802",$,['Greek'],Atcha Greek & Lebanese Cafe                                     
" All Over BR, Baton Rouge 70801",$,['Mexican'],Taco de Paco                                     
 17425 Airline Hwy 70769,$$,"['BBQ', ' Breakfast', ' Seafood']",Frank’s Restaurant Grill & Bar                                     
" 6990 Siegen Lane, Baton Rouge 70809",$,"['American', ' Burger']",Twin Peaks                                     
 7524 Blue Bonnet Boulevard 70810,$$,['Bar Food'],Buffalo Wild Wings                                     
" 205 Florida St, Baton Rouge 70801",$,"['Breakfast', ' Sandwich', ' Seafood']",Poor Boy Lloyd's                                     
" 8905 Highland Rd, Baton Rouge 70810",$,['Burger'],Georges Southside                                     
" 9431 Delcourt Ave, Baton Rouge 70815",$,"['Chinese', ' Dim Sum', ' Seafood']",Dim Sum Restaurant                                     
" 257 Lee Dr, Baton Rouge 70808",$,"['Breakfast', ' Sandwich']",New York Bagel                                     
" 12240 Coursey Blvd, Baton Rouge 70816",$,['Italian'],Pocorello's Casa D'Italia                                     
